Disease,Species,Country,Region,Reporting_Year,Outbreaks_Reported,Total_Cases,Total_Deaths,Control_Measures_Applied,Data_Source
Lumpy Skin Disease,Cattle (Bos taurus / Bos indicus),India,South Asia,2022,125400,2490000,155000,Emergency Vaccination; Movement Control; Vector Control,WOAH Official Notification / DAHD
Lumpy Skin Disease,Cattle (Bos taurus / Bos indicus),India,South Asia,2023,38200,684000,32100,Targeted Vaccination (Lumpi-ProVacInd/Goat Pox); Surveillance,WOAH Official Notification / DAHD
Lumpy Skin Disease,Cattle,Bangladesh,South Asia,2022,4200,85400,3200,Ring Vaccination; Movement Control,WOAH WAHIS
Lumpy Skin Disease,Cattle,Pakistan,South Asia,2022,18500,190000,7500,Vaccination; Quarantine,WOAH WAHIS
Lumpy Skin Disease,Cattle,Nepal,South Asia,2023,12100,142000,5100,Vaccination; Disinfection,WOAH WAHIS
Foot and Mouth Disease,Cloven-hoofed (Bovine/Ovine/Caprine/Porcine),India,South Asia,2022,142,3890,92,NADCP Compulsory Biannual Vaccination (Trivalent O/A/Asia-1); Quarantine,WOAH Official Notification / DAHD
Foot and Mouth Disease,Cloven-hoofed (Bovine/Ovine/Caprine/Porcine),India,South Asia,2023,98,2410,54,NADCP Compulsory Mass Vaccination; Ring Vaccination,WOAH Official Notification / DAHD
Foot and Mouth Disease,Bovine / Ovine,Turkey,Eurasia,2023,210,6400,180,Vaccination (SAT-2 containment); Animal Movement Ban,WOAH WAHIS
Foot and Mouth Disease,Bovine / Caprine,Indonesia,South-East Asia,2022,5400,535000,9800,Emergency Mass Vaccination; Biosecurity; Stamping Out,WOAH WAHIS
Anthrax,Ruminants (Bovine/Ovine/Caprine),India,South Asia,2022,48,310,285,Ring Vaccination; Deep Carcass Burial; Spore Decontamination,WOAH Official Notification / DAHD
Anthrax,Ruminants (Bovine/Ovine/Caprine),India,South Asia,2023,35,220,195,Ring Vaccination; Quarantine; Strict Prohibition of Necropsy,WOAH Official Notification / DAHD
Peste des Petits Ruminants,Ovine / Caprine,India,South Asia,2022,340,6800,1420,PPR-EP National Eradication Vaccination,WOAH Official Notification / DAHD
Peste des Petits Ruminants,Ovine / Caprine,India,South Asia,2023,260,4900,980,PPR-EP Targeted Vaccination,WOAH Official Notification / DAHD
African Swine Fever,Porcine (Swine),India,North-East Asia,2022,180,18400,18400,Stamping Out; Complete Culling; Disinfection; Movement Ban,WOAH Official Notification / DAHD
African Swine Fever,Porcine (Swine),India,North-East Asia,2023,115,9200,9200,Stamping Out; Containment Zone Enforcement,WOAH Official Notification / DAHD
